patient_id,full_name,document_id,F,contact_email,registration_date,age,sex,clinical_notes,checksum_fasta,file_size_bytes,fasta_path,active
P-1757122269955,SANTIAGO,7777777,D002,SANTIAGO@GOAM.COM,2025-09-05T20:31:09.9701801,20,M,ESTA ALADO,d02c54cf544942a92a991994920c2e8d568fedcce5b25eefe562f4dca1bffcea,38,src\main\disease_db\FASTAS\patient_P-1757122269955.fasta,false
P-1757122349490,POPOPOPO,12345151,D001,DIWJK,2025-09-05T20:32:29.4905357,11,M,FW,93f57c4d7fbe633934a0992e3a214e8a67ee81273f7525523512a95f49611b0f,43,src\main\disease_db\FASTAS\patient_P-1757122349490.fasta,true
P-1757122677755,luciana,124151,D002,fikwmefm,2025-09-05T20:37:57.755379,12,F,HOLA,a44f7e7faa3ec9a6db1f84e1ebd2711b6b4e37ea2b87f0297156da252ccfca69,42,src\main\disease_db\FASTAS\patient_P-1757122677755.fasta,true
P-1757123008314,pepelicuia,1241,D001,1dwef4e,2025-09-05T20:43:28.3210921,12,M,MSIFKKLA,4b76ced89a509d4e21961ec1d81ac40d325d71ce4674635d25f8cc67653b3191,42,src\main\disease_db\FASTAS\patient_P-1757123008314.fasta,true
P-1757124044668,PEPON,10000000000,D001,DOEKLDFE,2025-09-05T21:00:44.6698083,0,M,PEPPEPE,173e1979a2202379ffd5c3679e0dda8ddf28ea0b0d4c24a9793c81425c7379d7,43,src\main\disease_db\FASTAS\patient_P-1757124044668.fasta,false
P-1757124965114,kiko,123456,D001,fkeo,2025-09-05T21:16:05.1427563,67,M,LEO,bdf8b9b11cccd43e81014795afdd3f3e7b45ce2b7e77bf9b589ed2b73a61ba4b,42,src\main\disease_db\FASTAS\patient_P-1757124965114.fasta,true
P-1757125481844,JULIAN,123131,D001,DWD,2025-09-05T21:24:41.8768999,12,M,JIJIJIJ,e86c59854dfe878bc34f55864c964b36ef6d59898d00de0c3080138c43aba07d,42,src\main\disease_db\FASTAS\patient_P-1757125481844.fasta,true
P-1757126529592,COCO,123141,D006,LDWE,2025-09-05T21:42:09.6305548,1,M,III,14cabef6a151ed85c97814b23c1da22aca5d948ae291c02ff5c039cf705deb3d,41,src\main\disease_db\FASTAS\patient_P-1757126529592.fasta,false
P-1757129142358,KOKO,2341,D003,V,2025-09-05T22:25:42.3632372,1,M,KK,750378568e9cd3c79f914acf00a79885a1f9688b58124ed1485259fb9c70a77f,35,src\main\disease_db\FASTAS\patient_P-1757129142358.fasta,true
P-1757129486241,IIII,42342,D003,EFE,2025-09-05T22:31:26.2455491,12,M,HOHK,624b9b44d7a0a74d6ae2563dc7b2a271299128e4cb22711675f7cd8f5bb3d06a,38,src\main\disease_db\FASTAS\patient_P-1757129486241.fasta,true
P-1757130591523,1,1231,,dwede,2025-09-05T22:49:51.5389449,31,M,f,03bec50a26401675f55edfa70ed28bc36dc88fd6ccdade48813f28aeeef34154,52,src\main\disease_db\FASTAS\patient_P-1757130591523.fasta,true
P-1757130608010,uii,2131,,dkowkd,2025-09-05T22:50:08.0100064,12,F,de,2e90ddecbf98ba0c6f42fd4f57a12a78fa0db44de6923da08a3696fb56d7af33,52,src\main\disease_db\FASTAS\patient_P-1757130608010.fasta,true
P-1757131920807,luis,124145151,,hola@gmial.com,2025-09-05T23:12:00.8231654,8,M,NINGUNA,f6817de30ff62bb662ebb03fb7ea3face4556b10efd2157b3bf98e58877bb888,29,src\main\disease_db\FASTAS\patient_P-1757131920807.fasta,true
